title,rating,body,author,date
Un gran diseñó y funcionalidad,"5,0 de 5 estrellas",Una muy buena cafetera y con el vaso termo abarcas el poder llevarte el café,cristina cava,Revisado en España el 17 de noviembre de 2022
Útil su programación,"4,0 de 5 estrellas","Se conserva bien la temperatura y se puede programar fácilmente el inicio del filtrado.
Un pequeño fallo es tener que colocar la tapa del vaso de filtrado y la gota que se escurre por fuera , tras echar café a la taza por no tener una pequeña apertura tipo jarra.",Pablo,Revisado en España el 6 de septiembre de 2022
funcionabilidad y diseño impecables,"4,0 de 5 estrellas","me gusta su diseño, no es un trasto en la cocina",Rafael,Revisado en España el 26 de abril de 2022
Silenciosa,"5,0 de 5 estrellas","Lo que más destacaría de la cafetera es que es muy silenciosa sobre todo si se compara con otras de filtro.
Para mi gusto el café sale bueno, acorde con la cantidad de café que le pongo.
Sale caliente y se mantiene largo rato caliente. Los materiales buenos.",Carcon,Revisado en España el 9 de enero de 2022
"Vale cada cêntimo! Alta qualidade, muito pratica e super resistente! Recomendo vivamente","5,0 de 5 estrellas","Não goteja! Mantém o café quente por muito tempo, muito pratica por ter 2 recipientes! Com um Design lindo e versátil! Recomendo a compra.",Alexandrina Canha,Revisado en España el 21 de diciembre de 2021
Buena compra,"5,0 de 5 estrellas","Buscaba una cafetera mas pequeña y que no fuera de cristal, perfecta!y la jarra que trae es muy cómoda.",Cliente A,Revisado en España el 24 de octubre de 2021
"Incómodo para hacer café, quitar y poner la tapa.","4,0 de 5 estrellas",Incomoda pero tiene calidad.,Joaquín,Revisado en España el 1 de octubre de 2021
Robusta y de calidad,"5,0 de 5 estrellas",Me ha encantado el sabor del café y la estética de la cafetera.,g_jayo,Revisado en España el 25 de agosto de 2021
Excelente compra,"5,0 de 5 estrellas","Me encantó, super rápida, no sabe a café quemado aun que lo pongas en cafe cargado y lo mejor es que el termo y vaso mantienen el cafe caliente mas de 3 horas.",Jo,Revisado en España el 31 de julio de 2021
Muy cara pero de buena calidad.,"4,0 de 5 estrellas",El unico inconveniente es su precio y que al verter el cafe que suele tirar un poco fuera. En general muy bien.,Jandro,Revisado en España el 3 de mayo de 2021
"Buena cafetera, pero el precio es demasiado elevado","3,0 de 5 estrellas","La cafetera cumple su función perfectamente y tiene muy buen diseño, es muy bonita. Sin embargo, es una cafetera estándar en cuanto a calidad, no tiene nada en particular. Debería costar muchísimo menos. Tiene un solo defecto, que es que a la hora de estar encendida se apaga por seguridad, y a mi criterio ese tiempo de demasiado poco, debería permanecer al menos 2 horas encendida, para poder seguir tomando café caliente.",Manu At,Revisado en España el 21 de febrero de 2021
Buen diseño,"4,0 de 5 estrellas","Lo mejor, el diseño.
Fácil de manejar y hace un buen café.
La programación de la cafetera cuesta un poco las primeras veces. El cestillo para el filtro es un poco pequeño para los filtros estándar de papel.",José Andrés,Revisado en España el 1 de enero de 2021
Silencio y aroma,"5,0 de 5 estrellas","Pequeña, con gran diseño, fail de utilizar, programable!",Marta Fraile,Revisado en España el 20 de agosto de 2020
Bonita y hace buen café.,"5,0 de 5 estrellas",El precio es algo elevado.,Cliente Amazon,Revisado en España el 28 de julio de 2020
YA USADO,"1,0 de 5 estrellas","El paquete ha venido abierto y al ver la cafetera efectivamente tenía restregones, estaba sucia. Procedemos a devolverla.",SDH,Revisado en España el 24 de abril de 2020
Buena calidad,"4,0 de 5 estrellas","El resultado es muy satisfactorio. Los materiales buenos, a pesar de ello recomendaría darle un buen trato especialmente a las piezas con gomas. No someter al calor del lavavajillas ni desenroscar, por experiencia con artículos similares. Varios programas que se adaptan y cubren las necesidades de uso. Compatible con filtro de 2 y 4. Buen sabor y posibilidad de graduar la intensidad al gusto.",Claudia,Revisado en España el 8 de abril de 2020
Bueno y bonito,"5,0 de 5 estrellas","cumple perfectamente las expectativas, y es muy bonito y compacto",Kiryan,Revisado en España el 12 de febrero de 2020
Un café muy bueno,"5,0 de 5 estrellas",Tan buena como me imaginaba,Francisco,Revisado en España el 25 de junio de 2019
"Los que he dicho, puedes elegit la taza of la jarra para la cantidad que quieres hacer.","5,0 de 5 estrellas","Me gusta mucho, he elegido este producto porque se puede hacer una o dos tazas solo.
Es muy facil de utilizar. Y facil de mantener limpio. Y si viene invitados a tomar un café es possible de hacer más tazas con la jarra termica. Muy muy bueno",petra koeman,Revisado en España el 3 de marzo de 2019
Muy buena calidad,"4,0 de 5 estrellas","Llegó, el día previsto, perfectamente embalada. Cumple las espectativas que tenia. La jarra termo, mantiene el calor muchas horas. No le doy 5 estrellas porque no mantiene la hora si la desconectas.",Maria Jesús,Revisado en España el 6 de diciembre de 2018
El café dura mucho tiempo caliente,"5,0 de 5 estrellas","Buenísima, excelente calidad y da para 4 tazas",Elena Polo,Revisado en España el 20 de noviembre de 2018
Genial,"5,0 de 5 estrellas",Estoy encantada con la cafetera. El temporizador funciona perfectamente y la limpieza es muy fácil. Genial.,Belen,Revisado en España el 4 de octubre de 2018
AMAZON marca la diferencia,"5,0 de 5 estrellas","Hace más de un año descubrí este producto, pero no era accesible en España y la otra gran plataforma no me inspiraba confianza.
AMAZON APORTA GRANTÍAS",richard,Revisado en España el 13 de agosto de 2018
Me ha gustado muchísimo,"4,0 de 5 estrellas","Llevaba tiempo buscando una cafetera programable, que valiera tanto para hacer poca cantidad como mucha de café, y que tuviera jarra térmica, porque las de cristal se rompen y no me gustan. Vi esta y la compré, y la verdad es que es muy buena cafetera.

ME GUSTA
- El acabado sólido, de acero inoxidable (cromargan) que usa esta marca, WMF. Quien conoce la marca ya sabe que suele hacer productos de calidad (yo tengo el juego de ollas, la cubertería y un par de sartenes).
- Es programable, por supuesto
- Se puede hacer desde una a cinco tazas (750 mL).
- Trae dos vasos térmicos, uno con forma de jarra y otro con forma de vaso, y sus respectivos tapones, ambos a rosca y perfectamente intercambiables, uno de ellos con asa para coger. Ambos, jarra y vaso, son de la misma altura, pero distinta capacidad (el vaso, 350mL, la jarra, 750 mL). En la tapa, tanto la de asa como la otra, llevan un botón que al apretarlo permite echar el café o beberlo directamente sin necesidad de desenroscar. No he comprobado que sean herméticos, pero por el tamaño de la rosca pienso que sí.
- Es muy silenciosa comparada con otras cafeteras que he tenido.
- Cuando se termina de hacer, si coges la jarra o el vaso por cualquier lado no quema en absoluto. Para mi gusto sale bien de caliente, aunque su potencia es 760 W
- Lleva un selector para elegir un aroma más fuerte. No he probado a usarlo con temporizador.
- Ocupa poco sitio y es bonita, no desentona en ninguna cocina.

Pero no le doy cinco estrellas porque:
- Es más complicada de programar que otras que he tenido (creo que en lo que va de año ya he tenido cuatro, una era demasiado grande, la devolví, otra tenía marcado a partir de seis tazas, otra se estropeó el programador y la última se rompió la jarra ¡mientras hacía el café!, que menos mal que estaba yo en la cocina, que si no... ). En fin, todas las otras se programaban por el estilo, pero esta lleva otra manera. Nada complicado, pero el primer día tuve que usar el manual.
- No lleva filtro permanente. Suelo usar de papel, pero me gusta la opción de poder elegir.
- No lleva cucharilla. No es un problema, pero una cafetera de esta categoría debería llevar una.

Por lo demás, estoy muy contenta, de momento no me ha fallado, las jarras térmicas son fantásticas y útiles al ser de dos tamaños diferentes y me gusta mucho cómo queda el café. Lo que ha sido una pena es no haber comprado esta cafetera desde el principio.",Marian,Revisado en España el 25 de mayo de 2018
Elegance,"5,0 de 5 estrellas",Cafetière élégante pratique avec un pot isotherme très efficace le café du matin est à bonne température pour le repas du midi,Phil,Revisado en Francia el 21 de julio de 2024
Tolles Gerät,"5,0 de 5 estrellas","Nachdem meine alte Kaffeemaschine kaputt ist und ich drei Tage keinen Kaffee trinken konnte 😱 habe ich diese gefunden. Der Behälter ist ideal nicht zu groß und nicht zu klein so das man etwa vier Tassen heraus bekommt was für mich täglich ausreicht.
Er bleibt wirklich 10 Stunden heiß und ist noch dazu kostengünstiger als meine alte Kapselmaschine.Die Zeitfunktionen nutze ich nicht aber gut das sie dabei war.Der zweite Becher ist für mich auch unnötig und nur für einen to Go gedacht.",Quäntchen,Revisado en Alemania el 21 de julio de 2024
"Klasse, mit dem Timer muss ich noch üben","5,0 de 5 estrellas","Für mein kleines Womo ganz toll, sogar mit 2 Pers. Passt das noch",Zaubermouse,Revisado en Alemania el 21 de julio de 2024
Kaffeemaschine für 1 Person,"5,0 de 5 estrellas",Die Küchenminis Serie von WMF ist super für 1-2 Personen Haushalt. Jeden Morgen geniesse ich meinen Kaffee aus dieser Filterkaffeemaschine. Preis-Leistung top.,Kim,Revisado en Alemania el 21 de julio de 2024
WMF,"5,0 de 5 estrellas",...teuer aber wie ich finde berechtigt.Man bemerkt den Unterschied zur günstigen Maschinen.,oggy,Revisado en Alemania el 18 de julio de 2024
Jederzeit wieder,"5,0 de 5 estrellas",Absolut klasse,Super genial,Revisado en Alemania el 18 de julio de 2024
Perfekt für unterwegs!,"5,0 de 5 estrellas",Die Kaffeemaschine war ein Geschenk für meinen Vater. Der nutze die Maschine in seinem LKW und ist super zufrieden!,lucas kruse,Revisado en Alemania el 16 de julio de 2024
Geht so,"4,0 de 5 estrellas",Tröppelt recht schnell. Anfangs begeistert - heute eher na ja.,Zolumbo,Revisado en Alemania el 15 de julio de 2024
Degelijk toestel van zeer goede kwaliteit,"5,0 de 5 estrellas","Eindelijk een kleine koffiezet, die degelijk gemaakt is. Geen 2e rangs materiaal, maar echt Duitse kwaliteit, Werkt goed en ziet er goed uit. Zeer tevreden met deze aankoop.",Javo,Reseñado en Bélgica el 14 de julio de 2024
Sehr schöne Kaffeemaschine!,"5,0 de 5 estrellas",WMF Kaffeemaschine ist schnell geliefert.,Amazon Customer,Revisado en Alemania el 14 de julio de 2024
"Leider NICHT tropffrei, Isolierung befriedigend","3,0 de 5 estrellas","Bereits bei der Entnahme der Kanne läuft der erste Tropfen ,wie auch meistens beim Ausgießen, so ,dass also immer abgeputzt oder etwas untergelegt werden muss. NERVIG!",Amazon Kunde,Revisado en Alemania el 11 de julio de 2024
Bin begeistert,"5,0 de 5 estrellas",Die Kaffeemaschine kann ich nur empfehlen. Bin begeistert.,Hilla Müller,Revisado en Alemania el 9 de julio de 2024
Macht wie eine große K-maschine.,"5,0 de 5 estrellas",Perfekt!!,Uwe Liebrecht,Revisado en Alemania el 8 de julio de 2024
Handhabung sehrgut,"5,0 de 5 estrellas",Alles super,H.d.K.,Revisado en Alemania el 7 de julio de 2024
Schmeckt wie aus einer großen !,"5,0 de 5 estrellas","Die Kaffeemaschine kam super verpackt an. Macht optisch einen sehr schönen Eindruck. Ist super leicht zu bedienen, auch von Senioren. Der Kaffee ist super heiß und nach zwei Stunden ist er in der Kanne noch lauwarm.
Die erste Maschine tropfte nach einigen Tagen unten aus der Schraube raus. Reklamation top. Innerhalb von zwei Tagen Ersatz und der funktioniert bis jetzt top. Ergibt zwei große Kaffeepott Tassen.
Für Single oder Camping top.",Kirstin Zurkaulen,Revisado en Alemania el 4 de julio de 2024
Schnell und einfach,"5,0 de 5 estrellas","Hallo, die Kaffeemaschine haben wir eigentlich nur für den Wohnwagen geholt aber da unserer Vollautomat kaputt gegangen ist nutzen wir diese verstärkt. Die Maschine ist schnel, gut und unkompliziert.",Peter,Revisado en Alemania el 3 de julio de 2024
Kleine Kaffeemaschine,"5,0 de 5 estrellas","Sehr schöne kleine Kaffeemaschine, Frau zufrieden, jederzeit wieder",meisterzens,Revisado en Alemania el 30 de junio de 2024
Meine Motivation am Morgen im WoMo.,"5,0 de 5 estrellas",,Silke Gerber,Revisado en Alemania el 28 de junio de 2024
Schöne kleine Kaffemaschine,"5,0 de 5 estrellas","Schöne kleine Kaffeemaschine. Inhalt reicht für ca. 2 1/2 Kaffebecher. Durchfluss des Wassers geht schnell - Kaffe
schmeckt. Der Kaffee wird dann noch für ca. 40 Minuten von der Maschine warmgehalten und schaltet sich danach selbständig aus. Ich bin rundum zufrieden mit der Kaffemaschine.",Claus Daria,Revisado en Alemania el 27 de junio de 2024
Best little coffee machine,"5,0 de 5 estrellas",It is perfect for a small household like mine. I set the timer overnight and wake up to fresh hot coffee to start my day.,JoP,Revisado en Alemania el 21 de junio de 2024
Ideal für einen Kaffee zwischendurch im Wohnmobil,"4,0 de 5 estrellas",Klein praktisch und dank der beiden Thermokannen ideal fürs Wohnmobil wenn man nicht auf Kapseln zurückgreifen möchte.,Thomas,Revisado en Alemania el 18 de junio de 2024
