title,rating,body,author,date
Plásticos malos,"2,0 de 5 estrellas","Cualquier cafetera de bazar chino tiene mejores plásticos que esta máquina. Compara cualquier jarra de cualquier cafetera de 30€ y verás que la moccamaster lleva el cacillo y la jarra de una cafetera de 5 € de aliexpress. Son ridículas las asas esas planas y rectas, esa tapadera con el grosor de una cartulina... y menos en una máquina de más de 200€.",Gabriel Ruiz Torres,Revisado en España el 15 de abril de 2023
"Es su calidad, tal como dicen….","2,0 de 5 estrellas","Tristemente, después de estar usando durante dos meses a diario, la cafetera se empezó a rajar sin venir a cuento, tal y como se ve en la fotografía. La atención al cliente de la gente responsable de la cafetera ha sido espantosa, no así la garantía por parte de Amazon.",Raul,Revisado en España el 12 de abril de 2023
"No funciona,","1,0 de 5 estrellas","Compre la cafetera a través de Amazon segunda mano, y bastante mal, ni funciona ya entiendo porque la pusieron a vender",antonio galdeano,Revisado en España el 30 de marzo de 2023
De segunda mano muy buena?,"3,0 de 5 estrellas","La he devuelto, venía rota, ponía como nueva y me he llevado una decepción, si sacas la jarra sigue goteando y es porque está rota la cestilla",Paloma,Revisado en España el 30 de enero de 2023
Muy buena calidad,"3,0 de 5 estrellas","La cafetera es una autentica pasada.
Llevamos mas de dos meses usandola, y como el primer día, el café sale genial.

Pero el envío deja mucho que desea; la caja venía completamente intacta, pero al abrirla estaba escachado el plato donde mantiene caliente el calor; solicité el cambio, me la recogieron, y me volvieron a entregar 3 días después la misma cafetera con la misma tara.. la misma..

Al final tuve que volver a pedir una de nuevo, por que no me dejaban realizar otro recambio, adelantar el dinero de nuevo, y esperar a que me ingresaran el de la devolución..
Un poco desesperante la verdad, al final, mas de 10 días para recibir la cafetera..

Pero bueno, supongo que sería mala suerte;
en sí, la cafetera, genial! la recomiendo totalemente!",Sandra González,Revisado en España el 20 de enero de 2023
Mala suerte,"1,0 de 5 estrellas",Llego sin funcionar,Carlos M,Revisado en España el 10 de enero de 2023
Buena compra,"5,0 de 5 estrellas",Buena compra,MRA.DC,Revisado en España el 4 de enero de 2023
Devuelta,"2,0 de 5 estrellas",Lo único bueno el diseño porque el café malísimo. Probé con varios tipos de filtros y cantidades de café y solo obtuve resultados aguados y sin sabor. Me quedo con la de moka.,Ana,Revisado en España el 25 de noviembre de 2022
MMMhh Delicioso café y excelente temperatura.,"5,0 de 5 estrellas","MMMhh Delicioso café y excelente temperatura.
pero estábamos acostumbrados a eso de Douwe Egberts!",Jozef Triepels,Revisado en España el 1 de septiembre de 2022
Gran cafetera,"5,0 de 5 estrellas","Aparte del bonito diseño que tiene, la impresión que tengo es que está muy bien regulada de temperatura, caudal y chorreo del agua y los materiales empleados que son de buena calidad y al final todos esos elementos hacen que la cafetera dé un muy buen café. Muy contento con la compra.",Sergio Acosta Rivero,Revisado en España el 17 de agosto de 2022
