title,rating,body,author,date
Calidad,"5,0 de 5 estrellas",De las mejores cafeteras que he tenido. Producto de calidad y con varias funciones.,Jacobo R.,Revisado en España el 4 de febrero de 2024
"es rápida,","5,0 de 5 estrellas","Es una buena cafetera, todavía no entiendo muy bien la programación, pero me pondré en ello en breve",Cliente Amazon,Revisado en España el 2 de julio de 2023
"Bonita, elegante, pero con algúnos fallos de diseño","3,0 de 5 estrellas","Tras casi un año de uso, he observado que el mecanismo antigoteo es muy chapucero. La pieza está sujeta por un simple anillo de goma, que sujeta un muelle y el mecanismo tapón. Esa pieza es muy fácil de perder, simplemente al intentar sacar el filtro de papel, se puede caer a la basura, perderse y quedarte sin cafetera, por una simple anilla de goma, de 0,5 cm de longitud. Deberían mejorarlo",MANUEL,Revisado en España el 24 de mayo de 2023
Elegante,"5,0 de 5 estrellas","Buena calidad, práctica y elegante",Francisco Javier,Revisado en España el 15 de mayo de 2023
No calienta,"1,0 de 5 estrellas","Una pena, el café no sale con la temperatura esperada, no es capaz de calentar bien el agua...
No la recomiendo",Aritz,Revisado en España el 6 de mayo de 2023
2 cafeteras Russell Hobbs mismo problema,"1,0 de 5 estrellas","Segunda cafetera Russell Hobbs que compramos. Nos gustó el diseño y nos ""arriesgamos"" con la misma marca por las opiniones tan buenas que tenía, a pesar de durar 3 años solo la primera.
Esta hace un café bueno para nosotros, pero lleva dando problemas desde que la compramos hace 9 meses. En cuanto queremos hacer más café, es decir 8 tazas grandes (cuando el máximo es 10), se llena demasiado rápido de agua el filtro y se salen los pisos del café. A menudo también observamos que no cae toda la cantidad de agua echada en el depósito en la jarra, haciendo por ejemplo café para 3 tazas en lugar de 5.
Vamos, en nuestro caso muy mala experiencia con esta marca. No merece la pena el diseño si cualquier cafetera que tuvimos antes, de marcas buenas y también de marcas blancas, funcionaron mucho mejor y duraban muchos años, teniendo que cambiarlas por abburamiento...",F. Pasquier,Revisado en España el 1 de abril de 2023
PRODUCTO NO RECOMENDABLE. NO COMPRAR!!!!,"1,0 de 5 estrellas","La reseña q les pongo es producto malisimo, no comprar. Hasta ahora no me habia decidido a escribir nada sobre esta caferera pero lo de hoy ya es exagerado. Espero si me pueden comunicar algo",Mari 62,Revisado en España el 4 de marzo de 2023
Muy práctica,"5,0 de 5 estrellas","Me ha encantado, el café está buenísimo y es súper fácil de limpiar!!",Lola,Revisado en España el 11 de diciembre de 2022
Nefasto servicio,"1,0 de 5 estrellas",Me ha sido imposible comprar una jarra de repuesto. Tendré que tirar una cafetera con un mes de usu,Virginia Hidalgo,Revisado en España el 28 de noviembre de 2022
Un fiasco,"1,0 de 5 estrellas","La devolvimos, el primer café que fuimos a hacer se salió por todos lados, no nos gustó nada.. hay que ponerle filtro de papel, cabe relativamente poca agua en el depósito y la limpieza tampoco es muy cómoda",Luis B L,Revisado en España el 1 de octubre de 2022
Echa todo el café por fuera,"1,0 de 5 estrellas","Es ideal para tomar el café con borras. He probado con agua y hace exactamente lo mismo. Da igual que la llenes más o menos, el café lo echa todo por fuera e incluso he probado a llenarla a distintos niveles y da lo mismo. La unión con la jarra está mal y es ahí por donde pierde el café aparte de ponerte todo sucio. Tienes que estar con papel de cocina recogiendo el café que va cayendo por el exterior de la jarra. Yo no la volveré a comprar ni la recomiendo a nadie de hecho, es la peor cafetera que he tenido nunca.",Ana Q.,Revisado en España el 17 de julio de 2022
"Quien no toma café, es porque no quiere","5,0 de 5 estrellas","La cafetera es fácil de usar, es bonita y con ella tengo café para 4 o 5 días, y eso que yo tomo muuuucho. No me gusta que no indica qué hacen falta filtros de papel para poder usarla. Por lo demás, funciona de maravilla y hasta el momento sin problema",Damián,Revisado en España el 7 de marzo de 2022
Increíble cafetera,"5,0 de 5 estrellas","Agradezco empresa Russell Hobbs por hacer cafetera tan perfecta en todos aspectos. Tengo todas razones valorar este producto - 1) cada 2 años yo cambio cafeteras por gateo diferentes marcas, u usado un montón! 2) Uso esta cafetera Russell Hobbs 3 meces al diario varias veces. Funciona rápido, muy bonita y con estilo, auto limpieza funciona, tengo buen café y aroma cada mañana y fantástico te por la tarde.",Tatiana,Revisado en España el 3 de diciembre de 2021
No me ha gustado,"1,0 de 5 estrellas","Me gusta su diseño, pero es toda ella de un plástico que no me agrada nada , no tiene nada de peso , para abrir la tapa de entrada de agua es muy incomoda , hay que sujetar la parte de abajo firmemente o se cae la cafetera entera , no lo volvería a comprar , creo que es mejor gastar más y buscar una calidad superior",La Madriguera,Revisado en España el 15 de octubre de 2021
Muy útil y funcional,"4,0 de 5 estrellas","La cafetera cumple su función, es linda, se programa super fácil y hace el café muy rápido. La cuchara del lado aunque puede parecer frívola es útil también. Esperaba un poco más de los acabados con respecto al precio, sin embargo, estoy muy feliz con su funcionalidad. Las instrucciones dicen que hay que ponerla a funcionar una vez sin café como para lavarla y quitarle el sabor a plástico, pero creo que es mejor al menos dos, después de eso, ya se elimina cualquier sabor distinto. Veremos qué tan durable termina siendo.",katalina,Revisado en España el 29 de septiembre de 2021
Buen café,"5,0 de 5 estrellas","Después de pasar por un cerro de cafeteras, terminé comprando esta, algo más cara pero de una marca en la que confío. Y no me ha decepcionado. Es fácil sacar y meter la jarra, si lo haces mientras se hace café se cerrará la válvula y el conjunto permanece totalmente estable. El programador funciona perfectamente (aunque no le sobraría una pequeña batería o una pila para no perder la hora, pero no es complicado de configurar. La cucharita dosificadora es un añadido frívolo pero que oye, queda bien y también es útil.",Manu Mateos,Revisado en España el 15 de agosto de 2021
Buen cacharro,"5,0 de 5 estrellas","Ya que compramos con anterioridad el tostador de Russell Hobbs, la cocina estaba incompleta sin ésta cafetera. La verdad es que acertamos, gran capacidad, rapidez y buen sabor del café.",Gibson,Revisado en España el 23 de mayo de 2021
"Excelente cafetera, fácil y cómoda de usar","5,0 de 5 estrellas","Es una cafetera fácil de usar, muy cómoda de prepara el café y trae para poder programar cuando quieres dejarlo listo por la noche para que se haga solo en las mañana por ejemplo. Buena compra.",JOSÉ LUIS PÉREZ GARCIA,Revisado en España el 16 de noviembre de 2020
"No desperdicia agua, no suelta vapor. mantiene el cafe caliente","5,0 de 5 estrellas","Tras un mes de uso, no hay nada que nos haya defraudado, es perfecta para lo que debe hacer. Recomiendo el color gris/humo. no requiere mantenimiento exhaustivo, pero sí una vez cada semana. lo limpio poniendo el depósito directamente bajo el grifo o sino, con vapor caliente",Eugeni.s87,Revisado en España el 24 de octubre de 2020
calidad precio muy bien,"5,0 de 5 estrellas","Muy bien, calidad precio perfecto",Jesús,Revisado en España el 3 de octubre de 2020
Recomendo,"5,0 de 5 estrellas","Probando. De momento todo de maravilla. Se ve material de buena calidad. Facil de usar. Hace el cafe en seguida, casi nada de ruido. Una pena no tener filtro Fijo.",tiago antonio de araujo,Revisado en España el 29 de septiembre de 2020
Buen producto,"5,0 de 5 estrellas",Buen producto,Luis Gomez,Revisado en España el 4 de septiembre de 2020
