Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9
cafés (7),cafés (6),hacer (8),sale (4),hacer (5),sale (7),cafés (6),uso (5),hacer (8),hacer (6)
hacer (6),buen (5),cada (5),buen (4),sale (5),gusta (5),hacer (5),cafés (5),cafés (6),molido (5)
molido (5),calidad (5),buen (5),después (3),molido (5),bueno (5),además (4),calidad (4),sale (5),buen (5)
cápsulas (4),sale (5),bueno (5),años (3),cafés (5),mucha (4),calidad (4),servicio (4),vez (5),cada (4)
sale (3),buena (4),sale (4),buena (3),buen (4),producto (3),buen (4),años (4),después (4),sale (4)
buena (3),hacer (4),cafés (4),calidad (3),vez (3),cafés (3),buena (4),técnico (4),buen (3),buena (4)
funciona (3),vez (4),mejor (3),cafés (3),solo (3),hacer (3),cada (4),después (4),solo (3),después (3)
grano (3),precio (4),espuma (3),mejor (3),buena (3),buen (3),así (4),año (4),depósito (3),vez (3)
además (3),espuma (3),vez (3),marca (2),así (2),crema (3),cuenta (3),producto (4),cada (3),uso (3)
tiempo (2),uso (3),fácil (3),uso (2),cada (2),precio (2),limpieza (3),marca (4),uso (3),bueno (3)
