Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Coherence_Topic_0,Coherence_Topic_1,Coherence_Topic_2,Coherence_Topic_3,Coherence_Topic_4,Coherence_Topic_5,Coherence_Topic_6,Coherence_Topic_7,Coherence_Topic_8,Coherence_Topic_9
capsulas (0.0254),funciona (0.0256),cápsulas (0.0125),cápsulas (0.0351),ma (0.0199),cápsulas (0.0143),cápsulas (0.0185),cápsulas (0.0258),cápsulas (0.0285),fácil (0.0593),,,,,,,,,,
sale (0.0238),cápsulas (0.0215),problema (0.0117),marca (0.0221),q (0.0147),cápsula (0.0113),fácil (0.0133),caja (0.0218),depósito (0.0137),usar (0.0570),,,,,,,,,,
hacer (0.0112),gusto (0.0151),producto (0.0109),gusta (0.0218),sale (0.0144),capsulas (0.0067),modelo (0.0098),regalo (0.0153),cafés (0.0118),buen (0.0514),,,,,,,,,,
precio (0.0101),cumple (0.0126),funciona (0.0109),sale (0.0174),cápsula (0.0136),cualquier (0.0065),años (0.0094),funciona (0.0122),tamaño (0.0114),buena (0.0488),,,,,,,,,,
pena (0.0095),dolce (0.0118),compra (0.0105),bueno (0.0154),hacer (0.0120),cada (0.0063),anterior (0.0093),producto (0.0106),grande (0.0104),precio (0.0433),,,,,,,,,,
cápsulas (0.0088),nespresso (0.0109),uso (0.0098),sabor (0.0127),caliente (0.0112),da (0.0057),usar (0.0089),mal (0.0101),variedad (0.0104),calidad (0.0366),,,,,,,,,,
uso (0.0081),perfectamente (0.0104),marca (0.0074),usar (0.0125),capsula (0.0107),calidad (0.0056),precio (0.0087),después (0.0088),cápsula (0.0099),compra (0.0260),,,,,,,,,,
ma (0.0075),segunda (0.0088),solo (0.0064),comprar (0.0119),largo (0.0101),cafés (0.0054),menos (0.0085),llegó (0.0078),gusta (0.0097),limpiar (0.0186),,,,,,,,,,
funciona (0.0068),rápido (0.0078),cafés (0.0060),blanca (0.0110),bueno (0.0097),sabor (0.0054),diseño (0.0075),sale (0.0077),gusto (0.0088),perfecta (0.0168),,,,,,,,,,
sistema (0.0068),sabor (0.0077),mismo (0.0059),caras (0.0099),botón (0.0095),vez (0.0053),sale (0.0071),problema (0.0072),bebidas (0.0088),pequeña (0.0154),,,,,,,,,,
