Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9
sale (0.0250),acero (0.0184),producto (0.0126),caliente (0.0280),fácil (0.0879),calidad (0.0872),funciona (0.0412),ma (0.0098),jarra (0.0187),espuma (0.0384)
filtro (0.0148),filtro (0.0156),marca (0.0106),jarra (0.0183),usar (0.0592),buena (0.0500),cumple (0.0330),sabor (0.0092),q (0.0169),hacer (0.0270)
termo (0.0130),plástico (0.0128),servicio (0.0096),mantiene (0.0167),limpiar (0.0475),precio (0.0405),perfectamente (0.0251),tazas (0.0087),funcionar (0.0105),calentar (0.0148)
posos (0.0100),puede (0.0101),uso (0.0095),capacidad (0.0145),bueno (0.0161),producto (0.0205),función (0.0202),hacer (0.0075),funciona (0.0103),uso (0.0120)
solo (0.0090),inoxidable (0.0101),vez (0.0086),gusta (0.0135),sale (0.0139),compra (0.0190),perfecta (0.0124),filtro (0.0073),hacer (0.0087),temperatura (0.0106)
gusta (0.0089),depósito (0.0087),día (0.0086),tazas (0.0122),facil (0.0125),excelente (0.0124),mejor (0.0119),botón (0.0072),veces (0.0077),espumador (0.0105)
jarra (0.0089),además (0.0086),problema (0.0080),bastante (0.0109),cómoda (0.0111),sale (0.0112),pequeña (0.0107),siempre (0.0066),año (0.0073),va (0.0103)
hacer (0.0082),diseño (0.0085),años (0.0078),tiempo (0.0101),diseño (0.0111),perfecto (0.0108),compra (0.0107),intenso (0.0066),años (0.0072),solo (0.0102)
parte (0.0080),tazas (0.0083),inducción (0.0077),hecho (0.0090),práctica (0.0098),mejor (0.0105),esperaba (0.0096),menos (0.0065),sale (0.0070),tarda (0.0094)
funciona (0.0079),tapa (0.0081),después (0.0011),minutos (0.0089),buen (0.0098),buen (0.0007),buena (0.0088),hora (0.0064),después (0.0005),cafés (0.0094)
