Topic 0,Topic 1,Topic 2,Topic 3,Topic 4
filtro (0.0200),caliente (0.0172),después (0.0092),calidad (0.0408),fácil (0.0266)
jarra (0.0133),tiempo (0.0112),día (0.0079),buena (0.0294),usar (0.0175)
tazas (0.0121),perfecta (0.0110),marca (0.0076),precio (0.0216),sale (0.0169)
filtros (0.0081),uso (0.0096),funcionar (0.0076),producto (0.0203),limpiar (0.0142)
puede (0.0076),mantiene (0.0094),años (0.0073),buen (0.0177),bueno (0.0113)
depósito (0.0069),temperatura (0.0082),días (0.0072),funciona (0.0126),gusta (0.0109)
hacer (0.0066),jarra (0.0081),servicio (0.0070),compra (0.0098),buen (0.0108)
aunque (0.0058),hacer (0.0071),compré (0.0070),parece (0.0078),hacer (0.0107)
menos (0.0055),hecho (0.0068),año (0.0070),jarra (0.0070),espuma (0.0088)
ser (0.0054),funciona (0.0067),mal (0.0069),uso (0.0066),sabor (0.0082)
