Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6
jarra (0.0292),espuma (0.0293),después (0.0124),calidad (0.0522),fácil (0.0420),filtro (0.0112),jarra (0.0163)
filtro (0.0158),hacer (0.0158),producto (0.0116),buena (0.0324),buen (0.0332),tazas (0.0089),caliente (0.0141)
posos (0.0105),sale (0.0155),años (0.0092),precio (0.0244),usar (0.0249),hacer (0.0073),filtro (0.0099)
ma (0.0103),bueno (0.0108),uso (0.0092),parece (0.0142),buena (0.0215),jarra (0.0066),tazas (0.0082)
cristal (0.0092),calentar (0.0103),día (0.0091),producto (0.0124),limpiar (0.0203),gusta (0.0064),tiempo (0.0080)
acero (0.0082),cafés (0.0098),funciona (0.0088),termo (0.0112),compra (0.0149),aunque (0.0062),hacer (0.0078)
sale (0.0078),caliente (0.0092),cecotec (0.0086),materiales (0.0102),funciona (0.0139),puede (0.0060),sale (0.0072)
toda (0.0070),solo (0.0090),funcionar (0.0086),plástico (0.0095),calidad (0.0137),goteo (0.0058),inducción (0.0071)
parte (0.0067),usar (0.0085),marca (0.0082),cumple (0.0079),diseño (0.0128),depósito (0.0058),bastante (0.0069)
menos (0.0066),calienta (0.0085),servicio (0.0082),relación (0.0079),precio (0.0119),sale (0.0057),puede (0.0066)
