Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10
calidad (0.2873),calidad (0.5622),fácil (0.4166),buen (0.8195),funciona (0.8963),producto (0.4958),cumple (0.6195),perfecto (0.5696),perfecto (0.5320),perfecta (0.5226)
fácil (0.2750),precio (0.3901),calidad (0.3526),producto (0.3694),perfectamente (0.2186),calidad (0.1981),función (0.4464),perfecta (0.3111),producto (0.4034),bonita (0.3707)
buen (0.2645),relación (0.1425),usar (0.3228),diseño (0.0387),bonita (0.0763),uso (0.1305),perfecto (0.1585),diseño (0.1858),bueno (0.3651),pequeña (0.2286)
precio (0.2231),producto (0.1279),precio (0.2610),sabor (0.0312),genial (0.0751),funcionar (0.0878),perfectamente (0.1309),tamaño (0.1649),sale (0.3104),producto (0.1819)
usar (0.2097),buen (0.0933),buen (0.2199),rápida (0.0240),perfecto (0.0646),fácil (0.0844),expectativas (0.1122),pequeña (0.1067),cumple (0.1662),calidad (0.1565)
sale (0.1661),excelente (0.0461),limpiar (0.2012),funcionamiento (0.0221),momento (0.0596),cecotec (0.0838),perfecta (0.0951),bonita (0.0906),compra (0.1136),excelente (0.0955)
limpiar (0.1546),mala (0.0446),relación (0.1186),resultado (0.0136),correctamente (0.0552),excelente (0.0822),pequeña (0.0704),tazas (0.0902),excelente (0.1012),bueno (0.0954)
funciona (0.1494),materiales (0.0409),excelente (0.0591),rapido (0.0106),cumple (0.0527),mala (0.0802),sencilla (0.0690),persona (0.0809),rápido (0.0962),tazas (0.0940)
producto (0.1487),cumple (0.0260),producto (0.0498),bonito (0.0094),inducción (0.0444),después (0.0801),persona (0.0630),grande (0.0706),función (0.0875),práctica (0.0832)
bueno (0.1250),plástico (0.0218),cómoda (0.0425),rato (0.0093),precio (0.0385),usar (0.0780),precio (0.0599),genial (0.0698),recomiendo (0.0824),compra (0.0828)
